,employee,companyAlias,numVotes,lastParticipationDate,stillExists
388,11,5370af43e4b0cff95558c12a,1,2014-06-07 02:00:00,0
390,12,5370af43e4b0cff95558c12a,1,2014-06-07 02:00:00,0
392,13,5370af43e4b0cff95558c12a,1,2014-06-07 02:00:00,0
394,14,5370af43e4b0cff95558c12a,1,2014-06-07 02:00:00,0
396,15,5370af43e4b0cff95558c12a,1,2014-06-07 02:00:00,0
398,16,5370af43e4b0cff95558c12a,1,2014-06-07 02:00:00,0
400,17,5370af43e4b0cff95558c12a,1,2014-06-07 02:00:00,0
437,36,5370af43e4b0cff95558c12a,1,2016-09-05 02:00:00,1
568,105,5370af43e4b0cff95558c12a,1,2016-10-21 02:00:00,0
576,109,5370af43e4b0cff95558c12a,1,2016-10-19 02:00:00,0
586,114,5370af43e4b0cff95558c12a,1,2016-10-21 02:00:00,0
594,119,5370af43e4b0cff95558c12a,1,2016-10-11 02:00:00,0
606,134,5370af43e4b0cff95558c12a,1,2016-10-11 02:00:00,0
613,145,5370af43e4b0cff95558c12a,1,2016-10-27 02:00:00,0
639,180,5370af43e4b0cff95558c12a,1,2016-10-11 02:00:00,0
645,189,5370af43e4b0cff95558c12a,1,2016-10-11 02:00:00,0
671,240,5370af43e4b0cff95558c12a,1,2016-10-11 02:00:00,0
681,256,5370af43e4b0cff95558c12a,1,2016-10-13 02:00:00,1
687,264,5370af43e4b0cff95558c12a,1,2017-01-02 01:00:00,0
713,319,5370af43e4b0cff95558c12a,1,2017-03-16 11:38:22,1
491,65,5370af43e4b0cff95558c12a,2,2016-09-27 02:00:00,0
527,84,5370af43e4b0cff95558c12a,2,2016-09-16 02:00:00,0
562,102,5370af43e4b0cff95558c12a,2,2016-10-11 02:00:00,0
570,106,5370af43e4b0cff95558c12a,2,2016-10-12 02:00:00,0
603,130,5370af43e4b0cff95558c12a,2,2016-10-11 02:00:00,0
607,136,5370af43e4b0cff95558c12a,2,2016-10-28 02:00:00,0
611,141,5370af43e4b0cff95558c12a,2,2016-10-10 02:00:00,0
630,166,5370af43e4b0cff95558c12a,2,2016-10-18 02:00:00,0
663,212,5370af43e4b0cff95558c12a,2,2016-10-12 02:00:00,0
664,214,5370af43e4b0cff95558c12a,2,2016-11-21 01:00:00,0
665,226,5370af43e4b0cff95558c12a,2,2016-10-18 02:00:00,0
672,243,5370af43e4b0cff95558c12a,2,2016-10-17 02:00:00,0
696,274,5370af43e4b0cff95558c12a,2,2016-12-22 21:08:55,1
703,283,5370af43e4b0cff95558c12a,2,2017-03-10 12:54:38,1
706,293,5370af43e4b0cff95558c12a,2,2017-01-20 01:00:00,0
480,59,5370af43e4b0cff95558c12a,3,2017-01-02 15:05:12,1
551,96,5370af43e4b0cff95558c12a,3,2016-10-14 02:00:00,0
596,121,5370af43e4b0cff95558c12a,3,2016-11-22 01:00:00,0
615,149,5370af43e4b0cff95558c12a,3,2016-10-17 02:00:00,0
634,172,5370af43e4b0cff95558c12a,3,2016-10-18 02:00:00,0
636,175,5370af43e4b0cff95558c12a,3,2016-11-23 01:00:00,0
660,206,5370af43e4b0cff95558c12a,3,2017-01-04 01:00:00,0
678,252,5370af43e4b0cff95558c12a,3,2016-10-20 02:00:00,0
682,258,5370af43e4b0cff95558c12a,3,2017-03-15 01:00:00,1
698,276,5370af43e4b0cff95558c12a,3,2017-03-01 01:00:00,1
707,294,5370af43e4b0cff95558c12a,3,2017-01-20 01:00:00,0
708,299,5370af43e4b0cff95558c12a,3,2017-01-23 01:00:00,0
709,303,5370af43e4b0cff95558c12a,3,2017-02-28 01:00:00,1
712,315,5370af43e4b0cff95558c12a,3,2017-03-17 01:00:00,1
435,35,5370af43e4b0cff95558c12a,4,2016-03-04 10:55:34,0
609,139,5370af43e4b0cff95558c12a,4,2016-11-24 01:00:00,0
622,158,5370af43e4b0cff95558c12a,4,2017-01-23 01:00:00,0
651,197,5370af43e4b0cff95558c12a,4,2016-12-28 01:00:00,0
677,250,5370af43e4b0cff95558c12a,4,2016-11-17 01:00:00,0
686,262,5370af43e4b0cff95558c12a,4,2016-12-16 01:00:00,0
692,270,5370af43e4b0cff95558c12a,4,2016-12-23 09:05:45,1
425,30,5370af43e4b0cff95558c12a,5,2016-06-15 14:20:29,1
612,144,5370af43e4b0cff95558c12a,5,2016-10-27 02:00:00,0
621,157,5370af43e4b0cff95558c12a,5,2016-10-24 02:00:00,0
643,187,5370af43e4b0cff95558c12a,5,2016-12-06 01:00:00,0
646,191,5370af43e4b0cff95558c12a,5,2016-10-14 02:00:00,0
649,194,5370af43e4b0cff95558c12a,5,2016-10-20 02:00:00,0
689,267,5370af43e4b0cff95558c12a,5,2017-03-10 12:54:38,1
515,77,5370af43e4b0cff95558c12a,6,2016-12-08 01:00:00,0
578,110,5370af43e4b0cff95558c12a,6,2017-01-18 01:00:00,0
584,113,5370af43e4b0cff95558c12a,6,2016-12-23 01:00:00,0
625,161,5370af43e4b0cff95558c12a,6,2016-12-21 01:00:00,0
635,173,5370af43e4b0cff95558c12a,6,2017-01-12 01:00:00,0
655,201,5370af43e4b0cff95558c12a,6,2016-12-23 01:00:00,0
656,202,5370af43e4b0cff95558c12a,6,2017-01-09 01:00:00,0
659,205,5370af43e4b0cff95558c12a,6,2017-01-06 01:00:00,0
667,232,5370af43e4b0cff95558c12a,6,2016-11-22 01:00:00,0
705,287,5370af43e4b0cff95558c12a,6,2017-03-06 01:00:00,1
710,306,5370af43e4b0cff95558c12a,6,2017-03-08 09:48:41,1
507,73,5370af43e4b0cff95558c12a,7,2016-10-31 01:00:00,0
519,79,5370af43e4b0cff95558c12a,7,2016-10-26 02:00:00,0
543,92,5370af43e4b0cff95558c12a,7,2016-11-14 01:00:00,0
582,112,5370af43e4b0cff95558c12a,7,2017-01-17 01:00:00,0
600,126,5370af43e4b0cff95558c12a,7,2016-10-25 02:00:00,0
648,193,5370af43e4b0cff95558c12a,7,2017-01-04 01:00:00,0
658,204,5370af43e4b0cff95558c12a,7,2016-11-24 01:00:00,0
662,211,5370af43e4b0cff95558c12a,7,2016-12-15 01:00:00,0
697,275,5370af43e4b0cff95558c12a,7,2017-02-08 01:00:00,1
495,67,5370af43e4b0cff95558c12a,8,2016-11-10 01:00:00,0
553,97,5370af43e4b0cff95558c12a,8,2016-12-05 01:00:00,0
560,101,5370af43e4b0cff95558c12a,8,2016-12-23 01:00:00,0
650,195,5370af43e4b0cff95558c12a,8,2017-01-09 01:00:00,0
701,279,5370af43e4b0cff95558c12a,8,2017-01-17 01:00:00,0
711,313,5370af43e4b0cff95558c12a,8,2017-03-17 01:00:00,1
566,104,5370af43e4b0cff95558c12a,9,2016-12-22 01:00:00,0
588,115,5370af43e4b0cff95558c12a,9,2016-11-18 01:00:00,0
590,116,5370af43e4b0cff95558c12a,9,2017-01-18 01:00:00,0
598,123,5370af43e4b0cff95558c12a,9,2016-11-02 01:00:00,0
628,164,5370af43e4b0cff95558c12a,9,2017-01-17 01:00:00,0
629,165,5370af43e4b0cff95558c12a,9,2016-10-19 02:00:00,0
574,108,5370af43e4b0cff95558c12a,10,2016-10-21 02:00:00,0
595,120,5370af43e4b0cff95558c12a,10,2017-01-18 01:00:00,0
642,186,5370af43e4b0cff95558c12a,10,2016-12-05 01:00:00,0
653,199,5370af43e4b0cff95558c12a,10,2016-12-13 01:00:00,0
417,26,5370af43e4b0cff95558c12a,11,2017-03-06 01:00:00,1
455,45,5370af43e4b0cff95558c12a,11,2016-05-06 02:00:00,1
537,89,5370af43e4b0cff95558c12a,11,2016-11-24 01:00:00,0
