,companyAlias,employee,numVotes,stillExists,lastParticipationDate,vote.mean,vote.mode,vote.min,vote.max,diffDaysVote.min,diffDaysVote.max,diffDaysVote.median,likes.mean,likes.min,likes.max,dislikes.mean,dislikes.min,dislikes.max,carac.mean,carac.min,carac.max,diffDaysComment.min,diffDaysComment.max,diffDaysComment.median,commentId.count
7,5370af43e4b0cff95558c12a,18,203,1,2017-03-12 01:00:00,3.1921182266009853,3,1,4,0,384,281.0,5.48,1.0,18.0,0.58,0.0,3.0,51.24,14.0,139.0,37.0,382.0,326.0,50.0
8,5370af43e4b0cff95558c12a,20,51,1,2016-12-16 01:00:00,3.6666666666666665,4,2,4,0,298,246.0,1.4,0.0,3.0,0.2,0.0,1.0,8.2,0.0,30.0,16.0,238.0,27.0,5.0
9,5370af43e4b0cff95558c12a,21,72,1,2016-12-27 01:00:00,3.6805555555555554,4,3,4,0,309,200.5,3.4166666666666665,0.0,8.0,0.3333333333333333,0.0,2.0,53.0,8.0,168.0,5.0,308.0,268.0,12.0
10,5370af43e4b0cff95558c12a,22,20,0,2016-05-26 09:16:56,3.25,3,1,4,0,93,55.5,4.888888888888889,0.0,10.0,0.7777777777777778,0.0,4.0,71.77777777777777,14.0,165.0,0.0,71.0,56.5,18.0
11,5370af43e4b0cff95558c12a,23,34,1,2016-11-12 01:00:00,3.1176470588235294,3,2,4,0,263,155.5,0.0,0.0,0.0,0.0,0.0,0.0,12.0,8.0,16.0,53.0,239.0,146.0,2.0
12,5370af43e4b0cff95558c12a,24,66,0,2016-07-18 02:00:00,2.4393939393939394,3,1,4,0,147,96.0,4.588235294117647,0.0,14.0,1.3529411764705883,0.0,5.0,87.17647058823529,15.0,286.0,17.0,143.0,115.0,34.0
13,5370af43e4b0cff95558c12a,25,145,1,2017-03-20 01:00:00,3.2344827586206897,4,1,4,0,391,282.0,4.75,0.0,12.0,0.53125,0.0,5.0,29.5,0.0,83.0,10.0,390.0,307.0,32.0
14,5370af43e4b0cff95558c12a,26,11,1,2017-03-06 01:00:00,3.090909090909091,3,3,4,0,353,81.0,2.2,0.0,5.0,0.2,0.0,1.0,31.0,20.0,47.0,73.0,352.0,291.0,5.0
15,5370af43e4b0cff95558c12a,27,70,1,2017-03-06 01:00:00,2.8142857142857145,3,1,4,0,378,330.0,3.7,0.0,11.0,1.0666666666666667,0.0,7.0,57.833333333333336,10.0,155.0,2.0,374.0,336.5,30.0
16,5370af43e4b0cff95558c12a,28,15,1,2017-01-30 17:02:25,3.0,3,2,4,0,342,277.0,6.416666666666667,1.0,10.0,0.3333333333333333,0.0,2.0,83.08333333333333,26.0,304.0,0.0,342.0,278.0,12.0
17,5370af43e4b0cff95558c12a,29,24,1,2016-09-14 17:03:44,3.7916666666666665,4,3,4,0,205,150.5,2.6666666666666665,0.0,7.0,0.2222222222222222,0.0,1.0,15.88888888888889,4.0,34.0,0.0,196.0,167.0,9.0
18,5370af43e4b0cff95558c12a,30,5,1,2016-06-15 14:20:29,3.8,4,3,4,0,85,61.0,6.631448203475065,2.3447406340057637,14.630043227665706,1.1693803788772703,0.24711815561959655,4.38328530259366,89.61363089002553,31.2921469740634,252.24387608069165,9.0,129.0,84.5,0.0
19,5370af43e4b0cff95558c12a,31,244,1,2017-03-16 01:00:00,3.4098360655737703,4,1,4,0,388,244.5,6.631448203475065,2.3447406340057637,14.630043227665706,1.1693803788772703,0.24711815561959655,4.38328530259366,89.61363089002553,31.2921469740634,252.24387608069165,9.0,129.0,84.5,0.0
20,5370af43e4b0cff95558c12a,32,40,1,2017-01-25 01:00:00,3.125,3,2,4,0,335,250.5,5.0,4.0,7.0,0.8,0.0,2.0,91.0,32.0,160.0,65.0,327.0,323.0,5.0
21,5370af43e4b0cff95558c12a,33,77,0,2016-11-21 01:00:00,3.9740259740259742,4,2,4,0,273,170.0,4.133333333333334,0.0,12.0,2.066666666666667,0.0,8.0,44.13333333333333,0.0,123.0,143.0,272.0,210.0,15.0
22,5370af43e4b0cff95558c12a,34,42,0,2016-11-16 01:00:00,3.2142857142857144,4,1,4,0,243,144.5,3.5,0.0,16.0,0.5,0.0,2.0,31.416666666666668,10.0,85.0,210.0,242.0,223.5,12.0
24,5370af43e4b0cff95558c12a,36,1,1,2016-09-05 02:00:00,4.0,4,4,4,0,0,0.0,6.631448203475065,2.3447406340057637,14.630043227665706,1.1693803788772703,0.24711815561959655,4.38328530259366,89.61363089002553,31.2921469740634,252.24387608069165,9.0,129.0,84.5,0.0
