,employee,companyAlias,commentId,likes,dislikes,commentDate,carac
0,307,56aec740f1ef260003e307d6,58d018d7e010990004e38070,4,0,2017-03-20 19:00:17,62
1,382,56aec740f1ef260003e307d6,58d0179ae010990004e3806d,1,2,2017-03-20 18:55:16,29
2,172,56aec740f1ef260003e307d6,58cff8cde010990004e37f6a,3,0,2017-03-20 16:44:02,27
3,135,56aec740f1ef260003e307d6,58cfefeee010990004e37f60,1,1,2017-03-20 16:06:08,27
4,225,56aec740f1ef260003e307d6,58cfd9b4e010990004e37f52,3,2,2017-03-20 14:30:50,33
5,18,56aec740f1ef260003e307d6,58cfd7e2e010990004e37f4f,1,0,2017-03-20 14:23:02,76
6,175,56aec740f1ef260003e307d6,58cfbdb53047cd000460dbcd,13,1,2017-03-20 12:28:45,361
7,491,56aec740f1ef260003e307d6,58cfbc333047cd000460dbcc,4,0,2017-03-20 12:23:54,100
8,158,56aec740f1ef260003e307d6,58cfb1ee3047cd000460dbb9,5,0,2017-03-20 11:39:14,156
9,124,56aec740f1ef260003e307d6,58cfa0af3047cd000460dba7,2,0,2017-03-20 10:27:51,21
10,538,56aec740f1ef260003e307d6,58cf9b3e3047cd000460dba5,3,0,2017-03-20 10:03:28,128
11,24,56aec740f1ef260003e307d6,58cf93673047cd000460db96,1,0,2017-03-20 09:31:18,9
12,465,56aec740f1ef260003e307d6,58cf8f433047cd000460db91,3,0,2017-03-20 09:13:39,25
13,340,56aec740f1ef260003e307d6,58cf809e3047cd000460db7b,3,0,2017-03-20 08:11:08,14
14,116,56aec740f1ef260003e307d6,58cf7b453047cd000460db79,6,2,2017-03-20 07:47:12,64
15,402,56aec740f1ef260003e307d6,58ceff443047cd000460db6c,5,0,2017-03-19 22:59:15,64
16,236,56aec740f1ef260003e307d6,58cee3993047cd000460db6a,6,1,2017-03-19 20:59:51,171
17,250,56aec740f1ef260003e307d6,58cec4e53047cd000460db67,6,0,2017-03-19 18:50:07,47
